time_stamp,info,Epochs,Learning Rate,hidden_dimension,num_layers,num_bases,Model,F1,precision,recall,hits@1,hits@3,hits@5,mrr,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,model_directory,triples_path,entities_labels_path,properties_labels_path,LM_embeddings_path,KG_embeddings_path
2023:10:27 13:55:05,Task: QA with GCN on VAD data; node embeddings initialized with complex,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(818, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.2825982713932935,0.20727162494191112,0.7978005865102638,0.624633431085044,0.7155425219941349,0.7580645161290323,0.6432734034456903,0.624633431085044,0.2849462365591398,0.18944281524926687,0.3333333333333333,0.45618153364632236,0.5054773082942097,./core/experiments/qa/results/20231027135013,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/complex
2023:10:27 13:59:55,Task: QA with GCN on VAD data; node embeddings initialized with distmult,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(868, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.24335106172785842,0.17748296978493497,0.7192082111436948,0.593841642228739,0.6818181818181818,0.7067448680351907,0.6105617500778788,0.593841642228739,0.26930596285434993,0.17653958944281525,0.31690140845070425,0.43114241001564946,0.47104851330203446,./core/experiments/qa/results/20231027135505,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/distmult
2023:10:27 14:05:45,Task: QA with GCN on VAD data; node embeddings initialized with transe,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(818, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.26816618550389865,0.2002853990143622,0.7777126099706746,0.42961876832844575,0.6173020527859238,0.6788856304985337,0.4920740263866321,0.42961876832844575,0.2434017595307918,0.17008797653958943,0.229264475743349,0.38967136150234744,0.4538341158059468,./core/experiments/qa/results/20231027135955,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/transe
2023:10:27 16:44:12,Task: QA with RGCN on VAD data; node embeddings initialized with complex,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(818, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.49212032722966625,0.4339146725089878,0.898240469208211,0.8621700879765396,0.9193548387096774,0.9252199413489736,0.8332492931721546,0.8621700879765396,0.3709677419354839,0.23841642228739002,0.460093896713615,0.5938967136150235,0.636150234741784,./core/experiments/qa/results/20231027140545,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/complex
2023:10:27 19:03:53,Task: QA with RGCN on VAD data; node embeddings initialized with distmult,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(868, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.5657178110817321,0.5053859722068409,0.8894428152492667,0.7756598240469208,0.8812316715542522,0.9046920821114369,0.7939339571559392,0.7756598240469208,0.35386119257087,0.23196480938416422,0.4139280125195618,0.5665101721439749,0.6189358372456965,./core/experiments/qa/results/20231027164412,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/distmult
2023:10:27 21:29:24,Task: QA with RGCN on VAD data; node embeddings initialized with transe,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(818, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.5056066683926286,0.4495007915129983,0.8757575757575756,0.6994134897360704,0.8665689149560117,0.8797653958944281,0.7346531875059553,0.6994134897360704,0.33235581622678395,0.21994134897360704,0.3732394366197183,0.5320813771517997,0.5868544600938967,./core/experiments/qa/results/20231027190353,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/transe
2023:10:27 21:36:32,Task: QA with RGAT on VAD data; node embeddings initialized with complex,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(818, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.6282101160604894,0.5822917944317383,0.9143695014662755,0.7096774193548387,0.8284457478005866,0.8709677419354839,0.7338411437327381,0.7096774193548387,0.3343108504398827,0.22316715542521995,0.37871674491392804,0.5352112676056338,0.5954616588419406,./core/experiments/qa/results/20231027212924,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/complex
2023:10:27 21:43:38,Task: QA with RGAT on VAD data; node embeddings initialized with distmult,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(868, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.5627484253620849,0.50338737889473,0.9070381231671553,0.6173020527859238,0.8225806451612904,0.8900293255131965,0.7058810914566037,0.6173020527859238,0.3284457478005865,0.22668621700879765,0.32942097026604067,0.5258215962441315,0.6048513302034428,./core/experiments/qa/results/20231027213632,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/distmult
2023:10:27 21:50:23,Task: QA with RGAT on VAD data; node embeddings initialized with transe,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(818, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.5294745460774177,0.47010577789916297,0.9198680351906157,0.6671554252199413,0.8401759530791789,0.8812316715542522,0.7260964203432166,0.6671554252199413,0.323069403714565,0.21788856304985338,0.35602503912363065,0.5172143974960877,0.581377151799687,./core/experiments/qa/results/20231027214338,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,,./data/graph_embeddings/transe
2023:10:27 21:57:07,Task: QA with GCN on VAD data; node embeddings initialized with complex+RoBERTa,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(1586, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.20103466174389242,0.13832722480074533,0.7348973607038122,0.5249266862170088,0.6480938416422287,0.6847507331378299,0.5615732127605774,0.5249266862170088,0.2536656891495601,0.17067448680351907,0.28012519561815336,0.4061032863849765,0.45539906103286387,./core/experiments/qa/results/20231027215023,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/complex
2023:10:27 22:03:35,Task: QA with GCN on VAD data; node embeddings initialized with distmult+RoBERTa,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(1636, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.2609407239921012,0.1871885137514221,0.8023460410557182,0.41055718475073316,0.6422287390029325,0.7067448680351907,0.513404019113642,0.41055718475073316,0.2517106549364614,0.17624633431085043,0.2190923317683881,0.4029733959311424,0.4702660406885759,./core/experiments/qa/results/20231027215707,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/distmult
2023:10:27 22:10:39,Task: QA with GCN on VAD data; node embeddings initialized with transe+RoBERTa,20,0.01,16,2,,"GCN(
  (layers): ModuleList(
    (0): GCNConv(1586, 16)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(16, 2)
  )
)",0.2878279310374764,0.21732326460975843,0.7642961876832844,0.3724340175953079,0.5806451612903226,0.6495601173020528,0.4601952770850916,0.3724340175953079,0.22678396871945258,0.16510263929618768,0.19874804381846636,0.36306729264475746,0.4405320813771518,./core/experiments/qa/results/20231027220335,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/transe
2023:10:28 00:45:46,Task: QA with RGCN on VAD data; node embeddings initialized with complex+RoBERTa,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(1586, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.5124885865060778,0.45287408584512895,0.8967741935483869,0.7932551319648093,0.8929618768328446,0.9178885630498533,0.8006467587479323,0.7932551319648093,0.35581622678396874,0.23607038123167157,0.42331768388106417,0.5696400625978091,0.6298904538341158,./core/experiments/qa/results/20231027221039,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/complex
2023:10:28 03:25:45,Task: QA with RGCN on VAD data; node embeddings initialized with distmult+RoBERTa,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(1636, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.5188217218468753,0.4558688262431645,0.8967741935483869,0.7111436950146628,0.8709677419354839,0.9032258064516129,0.7475964750514074,0.7111436950146628,0.3489736070381232,0.22932551319648095,0.3794992175273865,0.5586854460093896,0.6118935837245696,./core/experiments/qa/results/20231028004546,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/distmult
2023:10:28 05:28:02,Task: QA with RGCN on VAD data; node embeddings initialized with transe+RoBERTa,20,0.01,16,2,,"RGCN(
  (layers): ModuleList(
    (0): RGCNConv(1586, 16, num_relations=193)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGCNConv(16, 2, num_relations=193)
  )
)",0.5080880554939915,0.4572150503403941,0.8953079178885629,0.749266862170088,0.9017595307917888,0.9149560117302052,0.7880048598642265,0.749266862170088,0.35532746823069405,0.22727272727272727,0.3998435054773083,0.5688575899843505,0.6064162754303599,./core/experiments/qa/results/20231028032545,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/transe
2023:10:28 05:35:03,Task: QA with RGAT on VAD data; node embeddings initialized with complex+RoBERTa,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(1586, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.5861285373772995,0.5343469178244218,0.9217008797653957,0.7067448680351907,0.9002932551319648,0.9222873900293255,0.7680595756475518,0.7067448680351907,0.3484848484848485,0.23255131964809383,0.37715179968701096,0.5579029733959311,0.6205007824726134,./core/experiments/qa/results/20231028052802,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/complex
2023:10:28 05:41:28,Task: QA with RGAT on VAD data; node embeddings initialized with distmult+RoBERTa,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(1636, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.5370405139778509,0.47187825940957084,0.9217008797653957,0.7932551319648093,0.8255131964809385,0.9208211143695014,0.806245573016102,0.7932551319648093,0.31867057673509286,0.22551319648093843,0.42331768388106417,0.5101721439749609,0.6017214397496088,./core/experiments/qa/results/20231028053503,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/distmult
2023:10:28 05:48:09,Task: QA with RGAT on VAD data; node embeddings initialized with transe+RoBERTa,20,0.01,16,2,,"RGAT(
  (layers): ModuleList(
    (0): RGATConv(1586, 16, heads=1)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): RGATConv(16, 2, heads=1)
  )
)",0.5609838330696509,0.5001312423704404,0.9186217008797652,0.7727272727272727,0.906158357771261,0.9237536656891495,0.8023771072524738,0.7727272727272727,0.36412512218963833,0.2375366568914956,0.41236306729264477,0.582942097026604,0.6338028169014085,./core/experiments/qa/results/20231028054128,./data/source_data_old/VAD_triples.csv,./data/source_data_old/VAD_entities_labels.csv,./data/source_data_old/VAD_properties_labels.csv,./data/graph_embeddings_old,./data/graph_embeddings/transe
